Symbol;Name;AssetId
REIT11;FII REIT RIV;0
RENT3;LOCALIZA ON;0
RLOG3;COSAN LOG ON;0
RNDP11;FII BB R PAP;0
RNEW11;RENOVA UNT;0
RNEW3;RENOVA ON;0
RNEW4;RENOVA PN;0
RNGO11;FII RIONEGRO;0
ROMI3;INDS ROMI ON;0
ROST34;ROSS STORES DRN;0
RPAD3;ALFA HOLDING ON;0
RPAD5;ALFA HOLDING PNA;0
RPAD6;ALFA HOLDING PNB;0
RPMG3;PET MANGUINH ON;0
RSID3;ROSSI RESID ON;0
RSUL4;RIOSULENSE PN;0
SAAG11;FII SANT AGE;0
SADI11;FII SANT PAP;0
SAIC11B;FII SIA CORP;0
SANB11;SANTANDER BR UNT;0
SANB3;SANTANDER BR ON;0
SANB4;SANTANDER BR PN;0
SAPR11;SANEPAR;0
SAPR3;SANEPAR ON;0
SAPR4;SANEPAR PN;0
SBSP3;SABESP ON;0
SBUB34;STARBUCKS DRN;0
SCAR3;SAO CARLOS ON;0
SCHW34;SCHWAB DRN;0
SCPF11;FII SCP;0
SDIL11;FII SDI LOG;0
SEER3;SER EDUCA ON;0
SGPS3;SPRINGS ON;0
SHOW3;TIME FOR FUN ON;0
SHPH11;FII HIGIENOP;0
SHUL4;SCHULZ PN;0
SLBG34;SCHLUMBERGER DRN;0
SLCE3;SLC AGRICOLA ON;0
SLED3;SARAIVA LIVR ON;0
SLED4;SARAIVA LIVR PN;0
SMAL11;ISHARES SMAL CI;0
SMLS3;SMILES ON;0
SMTO3;SAO MARTINHO ON;0
SNSY5;SANSUY PNA;0
SOND5;SONDOTECNICA PNA;0
SPRI3;SPRINGER ON;0
SPRI5;SPRINGER PNA;0
SPRI6;SPRINGER PNB;0
SPTW11;FII SP DOWNT;0
SPXI11;IT NOW SPXI;0
SQIA3;SINQIA;0
SSFO34;SALESFORCE DRN;0
STBP3;SANTOS BRP ON;0
SULA11;SUL AMERICA UNT;0
SULA3;SUL AMERICA ON;0
SULA4;SUL AMERICA PN;0
SUZB3;SUZANO PAPEL ON;0
TAEE11;TAESA UNT;0
TAEE3;TAESA ON;0
TAEE4;TAESA PN;0
TBOF11;FII TBOFFICE;0
TCSA3;TECNISA ON;0
TECN3;TECHNOS ON;0
TEKA3;TEKA ON;0
TEKA4;TEKA PN;0
TELB3;TELEBRAS ON;0
TELB4;TELEBRAS PN;0
TEND3;TENDA ON;0
TESA3;TERRA SANTA ON;0
TEXA34;TEXAS INC DRN;0
TFOF11;FII TOPFOFII;0
TGAR11;FII TG ATIVO;0
TGMA3;TEGMA ON;0
TGTB34;TARGET CORP DRN;0
THRA11;FII BM THERA;0
TIET11;AES TIETE E UNT;0
TIET3;AES TIETE E ON;0
TIET4;AES TIETE E PN;0
TIMP3;TIM PART S/A ON;0
TKNO4;TEKNO PN;0
TMOS34;THERMFISCHER DRN;0
TOTS3;TOTVS ON;0
TOUR12;FII TOUR II;0
TPIS3;TRIUNFO PART ON;0
TRIS3;TRISUL ON;0
TRNT11;FII TORRE NO;0
TRPL3;TRAN PAULIST ON;0
